,ride_id,tpep_pickup_datetime,PULocationID,driver_id
0,39028a1a-417c-4866-8233-a8256a33092e,2025-06-10T08:01:36,4,D009
1,4fa830d2-8ea2-48a2-b3ed-9f71e09184cf,2025-06-10T10:27:29,29,D005
2,2ea3af67-15ee-48e1-94fe-71c4c86cf0a7,2025-06-10T07:51:57,87,D018
3,d45b00db-819a-4dde-a194-1548b2837af6,2025-06-10T07:34:57,76,D014
4,8c4ee6d3-efd0-4c34-a337-58861815f1d3,2025-06-10T06:34:42,4,D003
5,57fb6ede-10ed-4b17-a08a-fd63f9ec6249,2025-06-10T09:58:48,30,D017
6,acfe6221-eaff-4481-87aa-ffa408a75258,2025-06-10T06:28:59,72,D007
7,a631a6e6-ca41-468b-9973-623ff49261a9,2025-06-10T15:55:13,54,D008
8,f4f32586-7e67-4f9c-99ee-5b972f75f574,2025-06-10T14:10:39,76,D009
9,b8ce4005-879d-4dd6-9788-c4e96aa292ba,2025-06-10T06:07:05,98,D006
10,7d8e57eb-207d-42cc-8bef-99bcdebb617c,2025-06-10T13:41:36,44,D009
11,94371575-789d-47be-893e-02183559c433,2025-06-10T08:49:49,28,D011
12,dcd8a497-a126-4e72-85d8-a7e842a56a2d,2025-06-10T07:51:38,12,D013
13,b138e790-a7a3-49d5-ba80-b3f63808aa19,2025-06-10T07:45:38,46,D012
14,a989be6d-7011-4aaa-8301-a42bec836a19,2025-06-10T10:48:55,6,D015
15,fc59ff82-ef87-4470-9930-e344ff3b60a9,2025-06-10T15:45:42,16,D013
16,763ef340-1f5d-48b9-955e-e5140b8f8386,2025-06-10T07:26:04,71,D010
17,fc9d3dfd-eb08-403d-b0a2-3f0f7ad4650b,2025-06-10T12:35:00,74,D007
18,7cdeea79-ad3b-4111-8d7c-2768e9e38073,2025-06-10T07:15:58,6,D008
19,c628f2af-7285-4497-9aa2-d0931ea26bbb,2025-06-10T11:16:05,11,D008
20,555b52a4-9b25-4f32-b9c7-1674243e185c,2025-06-10T07:50:19,49,D009
21,f9c8e703-1da7-4038-bb13-82eda3bf56f8,2025-06-10T14:15:14,82,D012
22,448e65e5-7d10-49e0-a729-195271bb42dd,2025-06-10T08:57:39,48,D012
23,cd24bf1d-e459-4e85-98c0-2de2516d7cdb,2025-06-10T09:48:50,86,D009
24,1ecc604a-a8a3-4a86-9ff0-8470bd78a3ce,2025-06-10T07:17:59,78,D006
25,a548d27d-4459-4775-bb54-e655879bbf72,2025-06-10T15:43:25,94,D008
26,b64a0d63-27d6-4074-bd45-3eba44180666,2025-06-10T08:58:28,60,D013
27,d3c6a9a2-5ea8-4767-8ffa-b399855b6c99,2025-06-10T10:54:51,82,D018
28,9c4600b1-1f5c-4c93-ab01-893d6560f3a6,2025-06-10T09:59:52,88,D011
29,f931cb39-90aa-4d53-a02f-a9f1466f4767,2025-06-10T07:01:05,30,D002
