trade_id,timestamp,instrument,price,quantity,buyer_id,seller_id
2022_T00151,2022-01-01 00:02:21.221846,MSFT,707.09,465,B0027,S0013
2022_T00354,2022-01-01 01:21:05.690684,AAPL,690.95,74,B0096,S0011
2022_T00098,2022-01-02 11:34:03.501150,AMZN,685.43,835,B0084,S0052
2022_T00448,2022-01-02 15:29:22.876197,AMZN,650.06,794,B0039,S0092
2022_T00072,2022-01-03 21:35:30.105662,AMZN,958.17,25,B0066,S0062
2022_T00092,2022-01-04 04:47:21.225278,AMZN,1413.52,439,B0001,S0085
2022_T00288,2022-01-04 16:36:13.049774,MSFT,1381.51,916,B0075,S0069
2022_T00082,2022-01-05 00:11:58.780840,GOOGL,690.43,953,B0065,S0066
2022_T00149,2022-01-05 01:23:59.027854,AMZN,1332.68,81,B0065,S0090
2022_T00462,2022-01-05 02:34:17.579783,GOOGL,1442.69,727,B0064,S0011
2022_T00388,2022-01-05 06:03:54.902203,TSLA,1216.18,270,B0091,S0059
2022_T00311,2022-01-06 04:03:57.109299,MSFT,565.85,914,B0043,S0073
2022_T00384,2022-01-07 03:47:10.643954,AMZN,164.96,299,B0043,S0033
2022_T00215,2022-01-08 01:23:08.653539,AAPL,1105.61,61,B0072,S0097
2022_T00282,2022-01-08 12:09:35.171865,GOOGL,304.62,350,B0016,S0084
2022_T00373,2022-01-09 23:29:05.129519,AMZN,1122.6,884,B0017,S0081
2022_T00148,2022-01-10 19:18:42.740990,GOOGL,335.46,973,B0089,S0023
2022_T00283,2022-01-11 05:24:32.996715,MSFT,288.29,357,B0036,S0022
2022_T00367,2022-01-12 03:58:15.165812,GOOGL,912.03,550,B0020,S0078
2022_T00472,2022-01-13 07:12:59.081610,AAPL,1272.43,21,B0024,S0043
2022_T00374,2022-01-13 21:51:28.203031,TSLA,394.32,966,B0063,S0033
2022_T00101,2022-01-15 09:53:07.584238,TSLA,755.2,603,B0095,S0043
2022_T00179,2022-01-16 02:38:26.326675,MSFT,1027.39,767,B0094,S0090
2022_T00056,2022-01-16 07:36:11.765178,AMZN,212.14,787,B0095,S0016
2022_T00115,2022-01-16 07:49:08.792725,AMZN,761.94,824,B0045,S0076
2022_T00203,2022-01-16 18:51:22.738345,MSFT,928.9,167,B0027,S0083
2022_T00079,2022-01-16 19:23:22.338962,GOOGL,519.98,815,B0047,S0069
2022_T00395,2022-01-17 00:30:53.897532,TSLA,1284.25,415,B0027,S0039
2022_T00421,2022-01-17 06:56:07.369915,AMZN,1337.73,183,B0012,S0060
2022_T00105,2022-01-18 00:26:48.928927,MSFT,440.2,255,B0025,S0079
2022_T00230,2022-01-19 22:06:17.686499,GOOGL,1252.22,669,B0079,S0017
2022_T00033,2022-01-20 01:25:30.122409,AAPL,441.56,868,B0064,S0075
2022_T00293,2022-01-20 03:10:23.494023,GOOGL,463.23,879,B0037,S0051
2022_T00094,2022-01-21 14:38:51.581454,GOOGL,1042.1,543,B0053,S0032
2022_T00489,2022-01-21 17:02:50.987479,TSLA,1096.52,818,B0085,S0053
2022_T00133,2022-01-22 01:07:54.297695,MSFT,578.51,557,B0019,S0054
2022_T00121,2022-01-22 08:42:44.384625,GOOGL,544.62,3,B0096,S0043
2022_T00235,2022-01-22 18:22:08.626408,AMZN,111.91,158,B0077,S0067
2022_T00362,2022-01-23 01:00:02.087830,AAPL,589.83,910,B0088,S0099
2022_T00353,2022-01-23 09:54:52.638508,MSFT,442.15,324,B0003,S0036
2022_T00125,2022-01-23 15:32:48.341950,AMZN,902.08,445,B0052,S0010
2022_T00030,2022-01-24 00:43:39.396798,TSLA,332.66,952,B0027,S0043
2022_T00152,2022-01-24 02:52:06.771941,AMZN,1130.13,487,B0030,S0070
2022_T00062,2022-01-24 16:50:55.931142,MSFT,399.83,748,B0043,S0048
2022_T00481,2022-01-25 12:03:29.763480,AAPL,1321.82,392,B0035,S0050
2022_T00303,2022-01-26 00:09:07.594542,AAPL,1298.2,679,B0069,S0096
2022_T00355,2022-01-26 10:11:50.752323,AAPL,1189.04,867,B0054,S0065
2022_T00019,2022-01-27 05:09:52.625890,AAPL,657.62,937,B0027,S0001
2022_T00413,2022-01-28 22:05:12.127388,MSFT,1496.34,190,B0072,S0045
2022_T00437,2022-02-01 06:06:13.624340,MSFT,1284.25,677,B0061,S0090
2022_T00419,2022-02-01 13:00:10.187042,AMZN,1461.44,639,B0076,S0095
2022_T00175,2022-02-02 00:35:03.673822,MSFT,211.13,930,B0074,S0015
2022_T00281,2022-02-02 20:05:29.961161,GOOGL,472.8,502,B0091,S0095
2022_T00031,2022-02-03 13:26:13.718173,AMZN,452.61,467,B0040,S0093
2022_T00446,2022-02-03 16:52:27.039241,AAPL,1289.18,789,B0015,S0078
2022_T00457,2022-02-04 05:50:17.759532,AAPL,542.77,701,B0071,S0009
2022_T00012,2022-02-04 16:25:14.904452,TSLA,1054.88,818,B0007,S0050
2022_T00020,2022-02-04 20:30:07.352635,GOOGL,289.37,275,B0096,S0013
2022_T00195,2022-02-07 13:18:22.768068,AAPL,947.58,402,B0047,S0006
2022_T00127,2022-02-09 14:37:16.938089,GOOGL,1051.84,955,B0097,S0083
2022_T00347,2022-02-10 07:52:48.975999,MSFT,829.74,780,B0084,S0069
2022_T00192,2022-02-11 01:17:20.624398,GOOGL,915.9,817,B0016,S0009
2022_T00002,2022-02-11 16:13:09.468364,AMZN,1021.64,590,B0062,S0023
2022_T00048,2022-02-11 18:34:38.373374,AMZN,921.92,934,B0071,S0026
2022_T00415,2022-02-12 11:09:02.858245,AAPL,1329.92,753,B0007,S0066
2022_T00066,2022-02-13 07:57:23.240386,AMZN,1267.08,671,B0094,S0085
2022_T00420,2022-02-14 01:00:15.816619,AMZN,791.65,250,B0089,S0043
2022_T00165,2022-02-15 11:40:56.352499,GOOGL,607.96,146,B0070,S0022
