trade_id,timestamp,instrument,price,quantity,buyer_id,seller_id
T000689,2025-06-01 00:04:02.229548,AMZN,365.43,653,B0065,S0046
T000271,2025-06-01 00:22:08.637623,TSLA,672.45,40,B0005,S0047
T000296,2025-06-01 00:55:35.708863,AMZN,1033.46,201,B0011,S0070
T000413,2025-06-01 02:12:23.766727,TSLA,1302.29,376,B0020,S0022
T000405,2025-06-01 02:17:36.803586,AAPL,829.27,949,B0073,S0061
T000686,2025-06-01 03:49:11.549496,GOOGL,1393.61,113,B0008,S0071
T000628,2025-06-01 04:20:22.221630,MSFT,273.54,857,B0029,S0094
T000338,2025-06-01 04:45:27.463887,TSLA,716.51,557,B0006,S0009
T000926,2025-06-01 05:24:46.671222,MSFT,333.12,758,B0086,S0082
T000422,2025-06-01 05:48:03.863615,GOOGL,662.05,226,B0028,S0026
T000620,2025-06-01 05:54:35.939591,TSLA,1155.09,699,B0078,S0062
T000450,2025-06-01 06:12:35.027749,MSFT,342.52,489,B0036,S0095
T000798,2025-06-01 06:32:18.258516,TSLA,620.61,843,B0022,S0034
T000621,2025-06-01 06:34:06.367813,GOOGL,552.06,647,B0072,S0076
T000139,2025-06-01 07:02:14.041710,GOOGL,469.73,889,B0034,S0021
T000702,2025-06-01 07:38:12.388115,GOOGL,983.39,570,B0046,S0077
T000165,2025-06-01 07:50:40.380933,AAPL,733.61,163,B0081,S0035
T000323,2025-06-01 08:22:38.477849,MSFT,249.39,193,B0095,S0028
T000963,2025-06-01 09:13:34.905667,AAPL,422.68,68,B0081,S0095
T000077,2025-06-01 09:51:58.286526,MSFT,323.93,633,B0021,S0043
T000811,2025-06-01 10:44:31.053545,GOOGL,668.49,306,B0067,S0038
T000241,2025-06-01 11:22:51.887863,MSFT,788.84,870,B0088,S0003
T000699,2025-06-01 11:35:26.862627,AAPL,984.04,748,B0067,S0075
T000587,2025-06-01 13:09:14.802119,GOOGL,529.54,795,B0089,S0052
T000252,2025-06-01 13:47:57.143329,TSLA,1448.52,518,B0011,S0037
T000835,2025-06-01 13:55:11.358030,MSFT,1081.76,207,B0049,S0027
T000904,2025-06-01 14:30:47.849938,AAPL,302.89,325,B0076,S0068
T000652,2025-06-01 15:25:54.597741,GOOGL,777.6,470,B0036,S0017
