trade_id,timestamp,instrument,price,quantity,buyer_id,seller_id
2020_T00128,2020-01-01 08:45:17.154672,GOOGL,321.83,515,B0057,S0064
2020_T00244,2020-01-01 11:51:49.562717,AAPL,466.82,244,B0002,S0088
2020_T00223,2020-01-01 11:53:31.381699,MSFT,1165.74,640,B0003,S0055
2020_T00363,2020-01-02 07:07:06.194430,TSLA,1210.41,528,B0027,S0004
2020_T00404,2020-01-03 02:57:56.184321,GOOGL,1494.54,133,B0057,S0072
2020_T00191,2020-01-04 05:25:50.620367,AMZN,1488.17,464,B0016,S0081
2020_T00207,2020-01-05 12:58:13.553804,GOOGL,1026.79,225,B0036,S0010
2020_T00169,2020-01-06 05:33:14.822446,AAPL,1161.76,607,B0039,S0066
2020_T00390,2020-01-06 05:37:43.173329,GOOGL,339.76,38,B0067,S0072
2020_T00463,2020-01-08 01:50:57.115517,MSFT,1379.04,967,B0087,S0084
2020_T00020,2020-01-08 14:03:39.876133,AMZN,706.31,847,B0050,S0038
2020_T00231,2020-01-08 14:20:07.446513,AMZN,725.94,517,B0003,S0013
2020_T00283,2020-01-09 18:24:04.312699,AMZN,494.03,880,B0033,S0091
2020_T00225,2020-01-09 21:07:52.368610,MSFT,286.72,679,B0007,S0056
2020_T00136,2020-01-09 21:17:00.035288,MSFT,1322.01,296,B0059,S0039
2020_T00344,2020-01-09 22:22:02.321917,AMZN,209.8,116,B0077,S0017
2020_T00362,2020-01-10 10:13:58.859625,AMZN,603.01,656,B0051,S0074
2020_T00341,2020-01-11 12:44:58.403578,TSLA,1367.15,344,B0061,S0091
2020_T00432,2020-01-11 15:16:42.260934,AAPL,202.88,236,B0040,S0041
2020_T00350,2020-01-12 16:13:49.942509,GOOGL,608.25,962,B0099,S0034
2020_T00281,2020-01-13 02:28:18.820497,AMZN,1412.47,447,B0015,S0057
2020_T00287,2020-01-13 08:39:16.782417,GOOGL,444.65,328,B0076,S0068
2020_T00364,2020-01-14 00:37:26.504641,MSFT,443.22,265,B0062,S0098
2020_T00371,2020-01-14 03:08:05.536275,AAPL,668.93,983,B0027,S0065
2020_T00102,2020-01-14 07:44:58.260895,AAPL,1243.53,71,B0029,S0035
2020_T00340,2020-01-17 01:28:09.612679,AMZN,307.44,555,B0025,S0092
2020_T00135,2020-01-17 21:49:30.508941,GOOGL,1473.6,139,B0034,S0029
2020_T00197,2020-01-18 21:32:29.982392,MSFT,414.27,910,B0077,S0014
2020_T00100,2020-01-21 14:15:07.471846,GOOGL,1007.61,162,B0047,S0055
2020_T00061,2020-01-22 06:14:33.108744,TSLA,158.08,921,B0081,S0027
2020_T00251,2020-01-22 14:23:46.620142,GOOGL,415.35,606,B0068,S0071
2020_T00257,2020-01-22 17:19:10.121808,TSLA,1485.07,923,B0077,S0024
2020_T00420,2020-01-23 19:41:05.955897,AAPL,456.52,745,B0017,S0006
2020_T00460,2020-01-24 01:43:37.437604,GOOGL,1199.15,789,B0014,S0076
2020_T00496,2020-01-24 22:29:14.570042,AMZN,1250.46,364,B0086,S0071
2020_T00210,2020-01-25 01:28:30.415538,TSLA,1309.22,540,B0056,S0097
2020_T00198,2020-01-25 12:51:58.402018,TSLA,349.53,151,B0085,S0030
2020_T00355,2020-01-28 01:26:41.774688,AAPL,1158.3,938,B0088,S0057
2020_T00053,2020-01-28 03:33:37.576559,AMZN,218.22,297,B0019,S0079
2020_T00446,2020-01-28 10:05:38.494000,TSLA,318.15,601,B0057,S0034
2020_T00106,2020-01-29 09:42:22.078217,TSLA,949.75,351,B0054,S0036
2020_T00422,2020-01-29 16:32:51.021016,AAPL,413.59,659,B0079,S0045
2020_T00095,2020-01-30 09:11:25.620428,GOOGL,1046.57,259,B0005,S0019
2020_T00037,2020-01-31 08:41:29.906626,AMZN,244.58,449,B0057,S0082
2020_T00088,2020-01-31 12:32:55.207722,TSLA,729.42,465,B0011,S0074
2020_T00107,2020-02-01 21:24:21.564599,AMZN,1433.66,676,B0065,S0005
2020_T00038,2020-02-02 06:54:15.981808,AAPL,1332.8,883,B0045,S0090
2020_T00303,2020-02-02 06:59:16.204691,MSFT,802.98,936,B0065,S0037
2020_T00007,2020-02-02 17:42:07.766320,AMZN,140.0,70,B0096,S0085
2020_T00386,2020-02-02 21:04:43.504884,AMZN,1068.9,187,B0065,S0074
2020_T00333,2020-02-03 13:04:59.706993,TSLA,261.07,674,B0045,S0032
2020_T00212,2020-02-05 14:19:53.640283,AAPL,736.15,853,B0041,S0027
2020_T00436,2020-02-05 16:40:23.063035,MSFT,799.78,431,B0071,S0085
2020_T00321,2020-02-05 21:36:22.111188,TSLA,164.64,276,B0025,S0072
2020_T00413,2020-02-06 15:29:56.947647,GOOGL,140.75,405,B0040,S0005
