trade_id,timestamp,instrument,price,quantity,buyer_id,seller_id
2018_T00236,2018-01-01 19:48:23.975412,AAPL,792.91,680,B0080,S0084
2018_T00099,2018-01-03 11:06:43.769613,GOOGL,1129.39,735,B0071,S0010
2018_T00070,2018-01-03 19:30:07.475006,GOOGL,411.93,856,B0064,S0039
2018_T00235,2018-01-04 04:38:32.728370,AMZN,1222.87,815,B0071,S0076
2018_T00491,2018-01-04 23:16:50.981617,GOOGL,488.34,123,B0098,S0033
2018_T00040,2018-01-05 05:01:06.647998,AMZN,1341.27,26,B0070,S0002
2018_T00445,2018-01-05 15:24:28.165338,MSFT,158.73,823,B0023,S0075
2018_T00311,2018-01-05 21:08:26.389050,AAPL,874.43,673,B0064,S0052
2018_T00475,2018-01-06 02:15:22.010059,TSLA,998.47,495,B0028,S0022
2018_T00351,2018-01-08 03:17:19.502570,GOOGL,1158.0,908,B0072,S0036
2018_T00080,2018-01-08 07:54:09.079730,TSLA,571.1,568,B0075,S0090
2018_T00090,2018-01-09 08:46:52.618405,GOOGL,1431.9,612,B0063,S0076
2018_T00265,2018-01-09 20:59:59.969890,GOOGL,1127.59,284,B0068,S0039
2018_T00434,2018-01-09 22:21:14.910022,TSLA,265.38,311,B0075,S0074
2018_T00205,2018-01-10 05:27:46.652933,GOOGL,752.79,412,B0089,S0036
2018_T00350,2018-01-11 12:25:02.310617,AAPL,1050.95,375,B0095,S0064
2018_T00197,2018-01-11 17:59:17.104710,AAPL,177.41,32,B0084,S0063
2018_T00029,2018-01-11 22:17:43.523402,AMZN,801.94,694,B0081,S0003
2018_T00279,2018-01-12 09:34:02.328809,AAPL,1079.82,858,B0036,S0024
2018_T00490,2018-01-12 22:08:11.937238,MSFT,321.58,571,B0044,S0075
2018_T00152,2018-01-13 10:29:23.084497,MSFT,1386.45,282,B0057,S0031
2018_T00371,2018-01-13 15:57:38.257068,GOOGL,1293.84,616,B0003,S0061
2018_T00238,2018-01-14 11:44:48.396065,AMZN,495.46,657,B0093,S0083
2018_T00072,2018-01-14 17:39:19.054028,GOOGL,971.36,410,B0024,S0034
2018_T00451,2018-01-16 13:27:07.833739,AAPL,1383.6,982,B0018,S0051
2018_T00041,2018-01-16 16:01:46.755609,AAPL,1042.7,693,B0053,S0066
2018_T00440,2018-01-16 22:59:31.403681,AMZN,256.14,988,B0002,S0055
2018_T00255,2018-01-17 01:15:09.069477,TSLA,1049.19,473,B0009,S0074
2018_T00430,2018-01-17 19:38:04.722836,AAPL,934.38,150,B0028,S0034
2018_T00094,2018-01-17 23:05:01.268507,AMZN,343.91,317,B0060,S0036
2018_T00174,2018-01-19 16:44:23.597338,AMZN,1040.86,432,B0082,S0066
2018_T00327,2018-01-20 07:28:10.201902,TSLA,289.09,954,B0038,S0077
2018_T00312,2018-01-20 09:16:33.593144,GOOGL,1230.66,622,B0016,S0028
2018_T00422,2018-01-20 11:57:49.695680,GOOGL,648.42,37,B0030,S0015
2018_T00226,2018-01-20 21:25:58.285585,MSFT,450.35,301,B0089,S0010
2018_T00379,2018-01-22 06:44:40.322058,TSLA,1266.16,524,B0026,S0008
2018_T00172,2018-01-22 07:58:52.273333,GOOGL,514.73,881,B0048,S0043
2018_T00461,2018-01-22 13:20:40.413271,MSFT,790.75,505,B0046,S0025
2018_T00412,2018-01-22 23:32:08.961466,GOOGL,893.49,127,B0030,S0033
2018_T00039,2018-01-24 21:30:57.609083,AMZN,926.93,644,B0007,S0033
