Country,StockCode,Revenue
Australia,15036,432.0
Australia,20665,17.700000000000003
Australia,20675,228.96000000000004
Australia,20676,228.96000000000004
Australia,20677,228.96000000000004
Australia,20685,349.5
Australia,20711,179.0
Australia,20712,61.1
Australia,20713,19.5
Australia,20717,12.5
Australia,20725,423.65
Australia,20726,405.5
Australia,20727,211.0
Australia,20728,82.5
Australia,20749,31.8
Australia,20750,31.8
Australia,20837,9.959999999999999
Australia,20838,10.2
Australia,20840,20.4
Australia,20971,15.0
Australia,20973,211.20000000000002
Australia,20978,135.68
Australia,20979,408.29
Australia,20983,10.2
Australia,20984,79.8
Australia,21056,26.849999999999998
Australia,21058,154.67999999999998
Australia,21068,38.160000000000004
Australia,21080,276.48
Australia,21084,45.6
Australia,21086,236.76000000000002
Australia,21090,93.60000000000001
Australia,21094,255.95999999999998
Australia,21115,217.4
Australia,21121,305.28000000000003
Australia,21137,650.88
Australia,21164,219.0
Australia,21179,18.72
Australia,21191,81.12
Australia,21192,69.6
Australia,21194,7.800000000000001
Australia,21195,162.24
Australia,21196,39.599999999999994
Australia,21197,69.6
Australia,21198,118.79999999999998
Australia,21199,39.599999999999994
Australia,21202,19.799999999999997
Australia,21204,19.799999999999997
Australia,21207,69.6
Australia,21208,4.68
Australia,21210,481.45
Australia,21212,151.2
Australia,21213,63.6
Australia,21216,816.0
Australia,21217,1503.6
Australia,21218,702.0
Australia,21238,138.24
Australia,21239,138.24
Australia,21240,138.24
Australia,21242,291.91999999999996
Australia,21243,305.44
Australia,21244,291.91999999999996
Australia,21245,13.52
Australia,21249,247.2
Australia,21366,12.75
Australia,21372,17.700000000000003
Australia,21421,75.0
Australia,21422,68.0
Australia,21481,35.400000000000006
Australia,21503,68.42
Australia,21507,5.04
Australia,21508,51.839999999999996
Australia,21509,77.75999999999999
Australia,21524,115.2
Australia,21531,100.80000000000001
Australia,21537,240.0
Australia,21539,29.700000000000003
Australia,21555,30.599999999999998
Australia,21577,27.0
Australia,21578,27.0
Australia,21581,27.0
Australia,21622,39.6
Australia,21623,19.9
Australia,21706,39.6
Australia,21707,39.6
Australia,21715,67.2
Australia,21716,67.2
Australia,21731,1987.1999999999998
Australia,21745,15.0
Australia,21770,468.9
Australia,21791,258.96000000000004
Australia,21843,727.3499999999999
Australia,21876,30.0
Australia,21877,152.64000000000001
Australia,21878,51.0
Australia,21880,46.800000000000004
Australia,21888,488.16
Australia,21891,570.24
Australia,21892,152.64000000000001
Australia,21899,305.28000000000003
Australia,21900,305.28000000000003
Australia,21902,305.28000000000003
Australia,21905,9.48
Australia,21906,27.0
Australia,21914,763.2
Australia,21915,1810.8000000000002
Australia,21917,60.9
Australia,21918,121.38
Australia,21922,15.9
Australia,21929,360.08000000000004
Australia,21931,20.8
Australia,21932,31.25
Australia,21933,197.9
Australia,21935,16.5
Australia,21936,174.7
Australia,21937,29.5
Australia,21974,181.45
Australia,21976,114.0
Australia,21977,100.8
Australia,21981,108.0
Australia,21984,108.0
Australia,21987,78.0
Australia,21988,61.44
Australia,21989,69.12
Australia,21990,105.0
Australia,21992,15.0
Australia,21993,90.0
Australia,22024,56.879999999999995
Australia,22025,51.839999999999996
Australia,22027,56.879999999999995
Australia,22028,51.839999999999996
Australia,22029,108.72
Australia,22035,25.919999999999998
Australia,22037,5.04
Australia,22045,146.5
Australia,22046,68.0
Australia,22050,68.0
Australia,22070,122.04
Australia,22077,208.79999999999998
Australia,22078,222.0
Australia,22079,174.0
Australia,22080,174.0
Australia,22083,323.7
Australia,22085,102.0
Australia,22086,112.10000000000001
Australia,22087,141.60000000000002
Australia,22089,70.80000000000001
Australia,22090,585.0
Australia,22093,66.24000000000001
Australia,22109,488.16
Australia,22119,20.85
Australia,22128,30.0
Australia,22131,118.8
Australia,22132,69.12
Australia,22138,487.2
Australia,22139,1136.85
Australia,22147,251.45
Australia,22148,112.8
Australia,22150,331.95
Australia,22175,53.10000000000001
Australia,22176,35.400000000000006
Australia,22191,142.8
Australia,22192,142.8
Australia,22193,176.8
Australia,22194,17.0
Australia,22195,195.2
Australia,22196,156.0
Australia,22219,10.2
Australia,22222,306.0
Australia,22232,13.2
Australia,22244,23.4
Australia,22245,10.2
Australia,22262,40.8
Australia,22271,367.2
Australia,22272,122.39999999999999
Australia,22273,507.29999999999995
Australia,22274,367.2
Australia,22308,105.0
Australia,22310,59.39999999999999
Australia,22325,29.700000000000003
Australia,22326,979.1999999999999
Australia,22327,122.39999999999999
Australia,22329,208.79999999999998
Australia,22331,374.4
Australia,22332,139.2
Australia,22333,470.4
Australia,22338,33.84
Australia,22340,9.36
Australia,22348,103.67999999999999
Australia,22354,203.4
Australia,22356,8.5
Australia,22360,244.79999999999998
Australia,22363,61.199999999999996
Australia,22364,61.199999999999996
Australia,22378,68.0
Australia,22379,248.0
Australia,22380,42.0
Australia,22381,10.5
Australia,22382,662.5
Australia,22383,82.5
Australia,22384,244.0
Australia,22385,41.6
Australia,22386,179.0
Australia,22400,32.76
Australia,22402,32.76
Australia,22403,32.76
Australia,22411,20.8
Australia,22413,17.700000000000003
Australia,22417,100.8
Australia,22418,40.8
Australia,22423,1978.1999999999998
Australia,22429,68.0
Australia,22449,37.800000000000004
Australia,22450,17.700000000000003
Australia,22451,141.60000000000002
Australia,22457,367.2
Australia,22466,521.9999999999999
Australia,22467,15.299999999999999
Australia,22478,75.0
Australia,22488,139.2
Australia,22492,1630.8
Australia,22495,53.10000000000001
Australia,22496,35.400000000000006
Australia,22503,38.25
Australia,22505,345.6
Australia,22514,66.60000000000001
Australia,22515,66.60000000000001
Australia,22516,66.60000000000001
Australia,22517,66.60000000000001
Australia,22518,66.60000000000001
Australia,22519,66.60000000000001
Australia,22522,138.24
Australia,22523,81.6
Australia,22524,106.0
Australia,22525,106.0
Australia,22539,172.79999999999998
Australia,22540,86.39999999999999
Australia,22541,86.39999999999999
Australia,22543,86.39999999999999
Australia,22544,259.2
Australia,22545,86.82
Australia,22546,96.89999999999999
Australia,22549,287.4
Australia,22551,417.59999999999997
Australia,22554,139.2
Australia,22555,437.4
Australia,22556,417.59999999999997
Australia,22557,298.2
Australia,22567,30.0
Australia,22576,27.2
Australia,22580,107.10000000000001
Australia,22583,76.5
Australia,22584,91.8
Australia,22600,27.2
Australia,22613,138.24
Australia,22615,108.0
Australia,22617,803.1
Australia,22619,1416.0
Australia,22620,826.2
Australia,22621,69.6
Australia,22628,510.0
Australia,22629,1584.0
Australia,22630,1689.6
Australia,22631,950.4
Australia,22634,408.0
Australia,22635,340.0
Australia,22636,367.20000000000005
Australia,22651,207.35999999999999
Australia,22652,290.0
Australia,22653,195.0
Australia,22654,792.0
Australia,22659,316.79999999999995
Australia,22662,774.5
Australia,22666,428.4
Australia,22667,61.199999999999996
Australia,22668,118.0
Australia,22669,156.35000000000002
Australia,22687,135.0
Australia,22690,48.9
Australia,22692,234.3
Australia,22697,384.9
Australia,22698,525.0
Australia,22699,586.1999999999999
Australia,22704,136.0
Australia,22706,68.0
Australia,22708,68.0
Australia,22709,68.0
Australia,22710,68.0
Australia,22712,134.64
Australia,22714,51.839999999999996
Australia,22715,51.839999999999996
Australia,22716,56.879999999999995
Australia,22720,1983.2
Australia,22722,2082.0
Australia,22725,169.5
Australia,22726,274.5
Australia,22727,274.5
Australia,22728,199.5
Australia,22729,30.0
Australia,22730,214.5
Australia,22734,179.28000000000003
Australia,22735,174.0
Australia,22736,190.5
Australia,22737,16.5
Australia,22738,174.0
Australia,22739,190.5
Australia,22749,813.6
Australia,22750,650.88
Australia,22751,1301.76
Australia,22785,81.0
Australia,22786,107.10000000000001
Australia,22807,91.8
Australia,22812,93.6
Australia,22813,70.2
Australia,22818,36.0
Australia,22835,157.8
Australia,22838,717.5999999999999
Australia,22839,408.0
Australia,22840,333.6
Australia,22841,333.6
Australia,22842,357.0
Australia,22843,357.0
Australia,22846,239.2
Australia,22848,119.6
Australia,22849,119.6
Australia,22857,103.67999999999999
Australia,22858,79.19999999999999
Australia,22859,89.1
Australia,22860,79.19999999999999
Australia,22892,76.32000000000001
Australia,22907,138.24
Australia,22908,69.12
Australia,22909,207.35999999999999
Australia,22910,316.1
Australia,22911,102.0
Australia,22913,153.0
Australia,22914,153.0
Australia,22915,43.199999999999996
Australia,22916,66.0
Australia,22917,66.0
Australia,22918,66.0
Australia,22919,66.0
Australia,22920,66.0
Australia,22921,66.0
Australia,22925,178.20000000000002
Australia,22926,71.4
Australia,22928,178.20000000000002
Australia,22933,17.700000000000003
Australia,22934,122.39999999999999
Australia,22940,1260.0
Australia,22941,51.0
Australia,22946,765.0
Australia,22950,360.0
Australia,22952,100.8
Australia,22953,30.0
Australia,22957,35.400000000000006
Australia,22959,68.0
Australia,22960,1041.0
Australia,22961,154.8
Australia,22962,286.68
Australia,22963,182.99999999999997
Australia,22967,35.400000000000006
Australia,22968,612.0
Australia,22969,1354.8
Australia,22970,151.20000000000002
Australia,22973,71.25
Australia,22978,488.16
Australia,22979,180.0
Australia,22980,348.0
Australia,22981,180.0
Australia,22983,5.04
Australia,22989,550.0
Australia,22990,425.0
Australia,22991,475.2
Australia,22992,522.0
Australia,22993,320.28000000000003
Australia,23009,179.39999999999998
Australia,23012,41.400000000000006
Australia,23013,41.400000000000006
Australia,23014,41.400000000000006
Australia,23017,66.9
Australia,23019,44.7
Australia,23024,86.7
Australia,23032,9.899999999999999
Australia,23034,17.4
Australia,23040,17.25
Australia,23049,16.5
Australia,23051,16.5
Australia,23052,16.5
Australia,23053,16.5
Australia,23077,208.0
Australia,23079,17.9
Australia,23083,22.5
Australia,23084,3375.84
Australia,23100,15.0
Australia,23101,9.959999999999999
Australia,23102,9.959999999999999
Australia,23108,613.3699999999999
Australia,23109,17.34
Australia,23113,149.4
Australia,23114,149.4
Australia,23119,76.32000000000001
Australia,23120,103.67999999999999
Australia,23121,103.67999999999999
Australia,23122,103.67999999999999
Australia,23129,16.6
Australia,23154,224.08
Australia,23155,9.959999999999999
Australia,23157,74.88
Australia,23158,74.88
Australia,23159,274.0
Australia,23165,349.65
Australia,23166,200.93
Australia,23167,106.91
Australia,23170,228.59999999999997
Australia,23171,208.79999999999998
Australia,23172,208.79999999999998
Australia,23173,684.6
Australia,23174,290.75
Australia,23175,211.0
Australia,23176,702.0
Australia,23177,702.0
Australia,23187,13.919999999999998
Australia,23189,239.04000000000002
Australia,23190,210.45
Australia,23192,280.04999999999995
Australia,23193,702.0
Australia,23194,766.8
Australia,23199,20.8
Australia,23200,20.8
Australia,23201,360.08000000000004
Australia,23202,220.60000000000002
Australia,23203,360.08000000000004
Australia,23206,469.65
Australia,23207,436.65
Australia,23208,161.5
Australia,23209,453.15
Australia,23229,491.91
Australia,23230,136.0
Australia,23231,136.0
Australia,23232,68.42
Australia,23233,110.0
Australia,23234,537.84
Australia,23235,241.93
Australia,23236,567.6700000000001
Australia,23237,544.15
Australia,23238,384.9
Australia,23239,360.0
Australia,23240,1109.05
Australia,23241,534.8800000000001
Australia,23242,446.08000000000004
Australia,23243,1040.5500000000002
Australia,23244,239.54999999999995
Australia,23245,1232.7500000000002
Australia,23247,624.24
Australia,23249,19.799999999999997
Australia,23250,15.0
Australia,23252,30.0
Australia,23253,300.0
Australia,23254,544.15
Australia,23255,274.15
Australia,23256,274.15
Australia,23267,15.0
Australia,23268,17.4
Australia,23283,67.5
Australia,23284,115.2
Australia,23285,82.72
Australia,23286,82.72
Australia,23287,82.72
Australia,23288,69.12
Australia,23291,102.05000000000001
Australia,23292,102.05000000000001
Australia,23293,311.34000000000003
Australia,23294,304.7
Australia,23295,311.34000000000003
Australia,23296,441.86
Australia,23297,390.9
Australia,23298,830.4000000000001
Australia,23299,169.5
Australia,23300,59.39999999999999
Australia,23301,98.99999999999999
Australia,23306,198.85
Australia,23307,101.35
Australia,23308,100.8
Australia,23309,50.4
Australia,23311,30.599999999999998
Australia,23312,375.0
Australia,23314,1039.0
Australia,23316,19.9
Australia,23318,14.940000000000001
Australia,23319,14.940000000000001
Australia,23324,24.96
Australia,23325,19.799999999999997
Australia,23326,166.08
Australia,23327,60.480000000000004
Australia,23328,939.96
Australia,23340,348.0
Australia,23341,91.80000000000001
Australia,23342,108.80000000000001
Australia,23343,358.0
Australia,23344,41.6
Australia,23345,216.0
Australia,23346,216.0
Australia,23347,120.0
Australia,23349,75.0
Australia,23353,155.51999999999998
Australia,23355,59.400000000000006
Australia,23360,237.6
Australia,23370,135.68
Australia,23371,135.68
Australia,23372,135.68
Australia,23382,118.44
Australia,23388,408.2
Australia,23389,441.40000000000003
Australia,23390,391.6
Australia,23391,16.6
Australia,23392,184.32
Australia,23395,15.0
Australia,23433,19.919999999999998
Australia,23436,124.80000000000001
Australia,23445,144.0
Australia,23480,157.92000000000002
Australia,23497,60.0
Australia,23502,119.0
Australia,23505,104.0
Australia,23506,8.4
Australia,23507,90.0
Australia,23510,90.0
Australia,23512,257.76
Australia,23513,257.76
Australia,23515,257.76
Australia,23516,236.88
Australia,23518,239.04000000000002
Australia,23519,236.88
Australia,23523,157.92000000000002
Australia,23524,157.92000000000002
Australia,23525,157.92000000000002
Australia,23526,962.9999999999999
Australia,23527,157.92000000000002
Australia,23533,192.6
Australia,23534,962.9999999999999
Australia,23535,962.9999999999999
Australia,23536,962.9999999999999
Australia,23541,357.6
Australia,23542,44.7
Australia,23545,68.0
Australia,23550,68.0
Australia,23559,12.48
Australia,37370,135.0
Australia,47566,1150.2500000000002
Australia,48129,47.7
Australia,48138,334.2
Australia,48194,70.8
Australia,71459,30.599999999999998
Australia,79067,147.5
Australia,84218,101.39999999999999
Australia,84228,44.4
Australia,84378,60.0
Australia,84380,152.64000000000001
Australia,84944,99.0
Australia,84945,40.8
Australia,84978,158.16
Australia,84988,34.8
Australia,84992,50.4
Australia,85152,25.200000000000003
Australia,15056BL,17.85
Australia,16161P,136.0
Australia,16169E,10.5
Australia,35004B,55.800000000000004
Australia,35004C,32.7
Australia,35004G,76.19999999999999
Australia,35637A,11.7
Australia,47590A,530.4000000000001
Australia,47590B,579.45
Australia,79191C,100.92
Australia,84029G,30.0
Australia,84509A,212.4
Australia,84510A,106.0
Australia,84519A,30.0
Australia,84519B,30.0
Australia,84663A,17.85
Australia,84970L,67.8
Australia,84970S,40.8
Australia,84997B,579.1
Australia,84997C,292.5
Australia,84997D,270.0
Australia,85014A,107.10000000000001
Australia,85014B,142.8
Australia,85071A,36.480000000000004
Australia,85071B,36.480000000000004
Australia,85071C,36.480000000000004
Australia,85099B,379.58000000000004
Australia,85099C,19.5
Australia,85114B,9.899999999999999
Australia,85114C,9.899999999999999
Australia,85123A,17.700000000000003
Australia,85132A,46.8
Australia,85183B,30.0
Australia,POST,350.0
Austria,17003,7.56
Austria,20674,10.0
Austria,20675,10.0
Austria,20676,30.0
Austria,20677,20.0
Austria,20679,214.20000000000002
Austria,20682,19.5
Austria,20686,19.5
Austria,20704,13.9
