transaction_id,customer_id,timestamp,amount,transaction_type,channel,status
1,1082,2025-05-30T22:50:12,200.2,withdrawal,ATM,success
2,1095,2025-05-26T18:15:58,192.25,deposit,Branch,success
3,1004,2025-06-07T21:33:32,184.33,deposit,Branch,success
4,1072,2025-06-06T10:26:46,278.95,withdrawal,ATM,success
5,1036,2025-06-05T09:11:09,828.49,deposit,ATM,success
6,1044,2025-06-01T07:42:00,350.08,deposit,Online,success
7,1049,2025-05-30T12:32:31,187.04,withdrawal,Branch,success
8,1006,2025-06-21T00:31:29,756.76,deposit,Online,success
9,1038,2025-05-29T18:25:03,846.46,withdrawal,Branch,success
10,1009,2025-06-23T05:06:01,141.24,deposit,Online,failed
11,1030,2025-06-15T00:42:04,879.84,withdrawal,Online,success
12,1047,2025-05-27T02:09:22,246.39,withdrawal,ATM,success
13,1090,2025-05-26T23:50:34,942.99,deposit,Branch,success
14,1069,2025-05-30T02:17:22,756.21,deposit,Online,success
15,1082,2025-06-05T03:51:30,719.35,deposit,Branch,success
16,1099,2025-06-05T20:11:46,798.4,deposit,ATM,success
17,1052,2025-06-19T01:54:29,340.97,deposit,Branch,success
18,1041,2025-06-23T18:31:45,291.36,withdrawal,Online,success
19,1083,2025-05-26T20:02:35,512.97,withdrawal,ATM,success
20,1072,2025-06-21T19:01:28,585.08,withdrawal,Branch,success
21,1029,2025-06-04T04:47:21,997.59,deposit,Branch,success
22,1097,2025-06-21T00:01:46,142.4,deposit,ATM,success
23,1088,2025-06-14T21:54:09,479.94,deposit,Online,success
24,1060,2025-06-05T05:57:30,576.2,deposit,Branch,success
25,1088,2025-06-16T08:29:35,896.31,withdrawal,Branch,success
26,1038,2025-06-23T03:40:15,491.29,withdrawal,ATM,failed
27,1093,2025-06-08T01:14:32,337.05,deposit,Branch,failed
28,1081,2025-05-25T20:41:53,368.6,deposit,ATM,success
29,1021,2025-06-02T07:08:35,585.44,deposit,Branch,success
30,1003,2025-06-15T01:30:29,200.68,withdrawal,Online,success
31,1031,2025-06-11T01:32:50,890.21,deposit,ATM,success
32,1009,2025-06-08T00:52:12,980.19,deposit,ATM,success
33,1071,2025-06-02T02:16:24,248.61,withdrawal,ATM,failed
34,1097,2025-06-04T23:59:07,756.94,deposit,Branch,success
35,1086,2025-06-10T21:17:15,684.89,withdrawal,Branch,success
36,1032,2025-05-30T12:12:36,302.23,withdrawal,ATM,success
37,1030,2025-05-30T01:11:00,629.6,deposit,ATM,success
38,1008,2025-06-12T23:46:26,306.05,deposit,Online,success
39,1031,2025-05-30T05:48:33,350.63,withdrawal,ATM,success
40,1093,2025-06-11T23:22:04,941.96,withdrawal,ATM,success
41,1053,2025-06-11T05:51:50,271.37,deposit,Branch,success
42,1055,2025-06-23T20:31:06,469.99,deposit,Branch,success
43,1083,2025-06-07T09:18:56,188.58,withdrawal,Branch,success
44,1014,2025-05-27T15:45:00,323.79,deposit,Branch,success
45,1055,2025-06-16T20:23:43,265.14,withdrawal,ATM,success
46,1010,2025-06-20T13:52:39,498.82,deposit,ATM,success
47,1070,2025-05-31T14:33:34,852.42,deposit,ATM,success
48,1063,2025-06-12T22:09:04,533.22,withdrawal,ATM,success
49,1001,2025-05-29T08:56:07,986.78,withdrawal,Online,success
50,1090,2025-06-21T08:18:02,961.59,withdrawal,ATM,success
51,1028,2025-06-08T18:42:14,971.84,deposit,Branch,success
52,1007,2025-06-12T02:27:43,625.76,deposit,ATM,failed
53,1011,2025-06-22T13:47:26,866.21,deposit,Branch,success
54,1031,2025-06-03T21:09:32,463.4,deposit,Branch,success
55,1080,2025-05-28T22:09:51,173.79,withdrawal,Online,success
56,1092,2025-05-27T18:30:57,382.77,withdrawal,Online,success
